"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"38","RT @maptivm: Blue sketch for #thanos of @Marvel .
#AvengersInfinityWar #InfinityWar #Avengers https://t.co/51zvGFQMYg",FALSE,0,NA,2018-04-25 21:13:04,FALSE,NA,"989250966062096384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fisto_sr",2,TRUE,FALSE,NA,NA
"39","#AvengersInfinityWar C'est de la bombe ❤ c'est le genre de film qui me rappelle pourquoi j'aime autant #Marvel",FALSE,0,NA,2018-04-25 21:13:03,FALSE,NA,"989250960617889795",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jessiica_91",0,FALSE,FALSE,NA,NA
"40","RT @Babycyj17: วันนี้เพื่อนไปดูหนังแล้วมีคนส่งมาให้ดูอิเหี้ยยยเหมือนมึงอินอะ 555555555555555555555555555 #AvengersInfinityWar https://t.co/…",FALSE,0,NA,2018-04-25 21:13:01,FALSE,NA,"989250954351423488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twiten_letter",346,TRUE,FALSE,NA,NA
"41","RT @CinemasNic: Amigos de Cinemas

Con mucha alegría les comunicamos que #AvengersInfinityWar llegará a Cinemas este viernes 27 de abril. P…",FALSE,0,NA,2018-04-25 21:13:00,FALSE,NA,"989250950190845952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justanothergabb",18,TRUE,FALSE,NA,NA
"42","Quel grand film !! OMG je suis choqué ! Certain le meilleur Marvel que j'ai vu. #AvengersInfinityWar",FALSE,0,NA,2018-04-25 21:13:00,FALSE,NA,"989250947938439168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MasterOf_Z",0,FALSE,FALSE,NA,NA
"43","Soon #AvengersInfinityWar https://t.co/BDWNtMwiaN",FALSE,0,NA,2018-04-25 21:12:59,FALSE,NA,"989250944583045120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MR_ICONZ",0,FALSE,FALSE,NA,NA
"44","RT @rnewquist: You can #Win this ultimate #AvengersInfinityWar #prize pack, including an original 1994 #InfinityGauntlet set, #Avengers and…",FALSE,0,NA,2018-04-25 21:12:58,FALSE,NA,"989250941814702081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kevasidhe",5,TRUE,FALSE,NA,NA
"45","RT @drakomalfoj: -masz jak wrócić z kina?
-jasne mamo!
#AvengersInfinityWar https://t.co/jsOLHWoLeC",FALSE,0,NA,2018-04-25 21:12:54,FALSE,NA,"989250926660681733",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bieber_Poland94",35,TRUE,FALSE,NA,NA
"46","RT @Roberta8825: Se avete da lamentarvi anche su Infinity War vi meritate il nulla. 
I Russo hanno fatto una cosa incredibile. Unire tutti…",FALSE,0,NA,2018-04-25 21:12:54,FALSE,NA,"989250924668506113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FioDem",34,TRUE,FALSE,NA,NA
"47","RT @SandhuMMA: This is brilliant. All the characters of #AvengersInfinityWar replaced by Conor McGregor. Amazing work by @KamuraShops. http…",FALSE,0,NA,2018-04-25 21:12:54,FALSE,NA,"989250924626366464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrewlarson75",13,TRUE,FALSE,NA,NA
"48","#AvengersInfinityWar était vraiment vraiment très cool. Les interactions entre la flopée de personnages sont réussi… https://t.co/2Pq5qJM8cY",FALSE,0,NA,2018-04-25 21:12:53,TRUE,NA,"989250921396924416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrScintillant",0,FALSE,FALSE,NA,NA
